Student summary,Attendance date,Course,Reason
AAAAAAAAAA,9-22-22,Mandarin IV,"Other (LS, MS, US)"
AAAAAAAAAA,9-26-22,Mandarin IV,"Other (LS, MS, US)"
AAAAAAAAAA,11-04-22,Mandarin IV,School Trip - Full Day
AAAAAAAAAA,9-21-22,Strength and Conditioning,"Other (LS, MS, US)"
AAAAAAAAAA,9-23-22,Strength and Conditioning,"Other (LS, MS, US)"
AAAAAAAAAA,10-05-22,Strength and Conditioning,"Illness - All Day (LS, MS, US)"
AAAAAAAAAA,10-17-22,Strength and Conditioning,"Illness - All Day (LS, MS, US)"
AAAAAAAAAA,9-21-22,The Graphic Novel,"Other (LS, MS, US)"
AAAAAAAAAA,9-23-22,The Graphic Novel,"Other (LS, MS, US)"
AAAAAAAAAA,10-05-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
AAAAAAAAAA,10-17-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
AAAAAAAAAAA,9-12-22,Advanced Biology,"Other (LS, MS, US)"
AAAAAAAAAAA,9-20-22,Advanced Biology,College Visit-Off Campus (US)
AAAAAAAAAAA,9-19-22,Ecological Literature,College Visit-Off Campus (US)
AAAAAAAAAAA,9-21-22,Ecological Literature,College Visit-Off Campus (US)
AAAAAAAAAAA,10-03-22,Ecological Literature,"Other (LS, MS, US)"
AAAAAAAAAAA,10-05-22,Ecological Literature,"Other (LS, MS, US)"
AAAAAAAAAAA,10-07-22,Ecological Literature,"Other (LS, MS, US)"
AAAAAAAAAAA,9-20-22,Marxism and Its Legacy,College Visit-Off Campus (US)
AAAAAAAAAAA,9-20-22,Multivariable Calculus,College Visit-Off Campus (US)
AAAAAAAAAAA,10-06-22,Multivariable Calculus,"Other (LS, MS, US)"
AAAAAAAAAAA,9-19-22,Spanish: Advanced Studies,College Visit-Off Campus (US)
AAAAAAAAAAA,9-21-22,Spanish: Advanced Studies,College Visit-Off Campus (US)
AAAAAAAAAAA,10-07-22,Spanish: Advanced Studies,"Other (LS, MS, US)"
AAAAAAAAAAAA,9-20-22,Chemistry,Sports  Dismissal- Half Class Period
AAAAAAAAAAAA,10-11-22,Chemistry,"Illness - All Day (LS, MS, US)"
AAAAAAAAAAAA,10-11-22,English 10,"Illness - All Day (LS, MS, US)"
AAAAAAAAAAAA,10-05-22,Global Women's Issues,"Religious Holiday (LS, MS, US)"
AAAAAAAAAAAA,10-05-22,Health,"Religious Holiday (LS, MS, US)"
AAAAAAAAAAAA,11-14-22,Health,Absent
AAAAAAAAAAAA,10-05-22,Math Analysis,"Religious Holiday (LS, MS, US)"
AAAAAAAAAAAA,11-14-22,Math Analysis,"Other (LS, MS, US)"
AAAAAAAAAAAA,10-11-22,Spanish III,"Illness - All Day (LS, MS, US)"
B,9-23-22,Advanced Algebra,"Illness - All Day (LS, MS, US)"
B,10-05-22,Advanced Algebra,"Illness - All Day (LS, MS, US)"
B,9-23-22,Chemistry,"Illness - All Day (LS, MS, US)"
B,10-05-22,Chemistry,"Illness - All Day (LS, MS, US)"
B,10-17-22,Chemistry,"Medical Appt. - AM (MS, US)"
B,10-04-22,English 10,"Illness - All Day (LS, MS, US)"
B,10-04-22,Marxism and Its Legacy,"Illness - All Day (LS, MS, US)"
B,10-06-22,Marxism and Its Legacy,"Medical Appt. - PM (MS, US)"
B,9-23-22,Spanish III,"Illness - All Day (LS, MS, US)"
B,10-05-22,Spanish III,"Illness - All Day (LS, MS, US)"
B,10-04-22,The American War in Vietnam,"Illness - All Day (LS, MS, US)"
BB,10-06-22,Advanced Calculus,"Other (LS, MS, US)"
BB,10-11-22,Advanced Calculus,"Family Trip (LS, MS, US)"
BB,10-18-22,Advanced Calculus,"Other (LS, MS, US)"
BB,9-09-22,Black and White Photography,Sports  Dismissal- Half Class Period
BB,9-19-22,Black and White Photography,Sports  Dismissal- Half Class Period
BB,10-03-22,Black and White Photography,"Other (LS, MS, US)"
BB,10-17-22,Black and White Photography,"Other (LS, MS, US)"
BB,10-28-22,Black and White Photography,"Other (LS, MS, US)"
BB,10-11-22,How Do We See,"Family Trip (LS, MS, US)"
BB,10-06-22,Physics with Calculus,Sports Dismissal- Full Class Period
BB,10-11-22,Physics with Calculus,"Family Trip (LS, MS, US)"
BB,9-21-22,The Graphic Novel,Sports Dismissal- Full Class Period
BB,11-03-22,The Graphic Novel,College Meeting-On Campus (US)
BBB,11-04-22,Advanced Algebra,School Trip - Full Day
BBB,11-04-22,Biology,School Trip - Full Day
BBB,9-23-22,English 9,School Trip - Full Day
BBB,11-04-22,French II,School Trip - Full Day
BBB,9-23-22,Historical Inquiry,School Trip - Full Day
BBB,9-23-22,Stage Makeup,School Trip - Full Day
BBBB,10-12-22,Anatomy and Physiology,"Other (LS, MS, US)"
BBBB,10-28-22,Anatomy and Physiology,Absent
BBBB,9-26-22,Civics: Understanding Our Rights,"Illness - All Day (LS, MS, US)"
BBBB,11-04-22,Civics: Understanding Our Rights,Sports Dismissal- Full Class Period
BBBB,11-10-22,Civics: Understanding Our Rights,"Illness - All Day (LS, MS, US)"
BBBB,9-12-22,Ecological Literature,"Other (LS, MS, US)"
BBBB,9-26-22,Ecological Literature,"Illness - All Day (LS, MS, US)"
BBBB,11-04-22,Ecological Literature,Absent
BBBB,11-10-22,Ecological Literature,"Illness - All Day (LS, MS, US)"
BBBB,9-26-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
BBBB,11-04-22,Introductory Calculus,Sports Dismissal- Full Class Period
BBBB,11-10-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
BBBB,11-15-22,Introductory Calculus,School Trip - Full Day
BBBB,9-23-22,Spanish IV,Sports  Dismissal- Half Class Period
BBBB,10-12-22,US History,"Other (LS, MS, US)"
BBBB,11-03-22,US History,"Other (LS, MS, US)"
BBBBB,10-27-22,Geometry,"Illness - Left Early (MS, US)"
BBBBB,11-04-22,Health,"Medical Appt. - AM (MS, US)"
BBBBB,10-27-22,Spanish III,"Illness - Left Early (MS, US)"
BBBBBB,9-20-22,Environmental Science,Sports Dismissal- Full Class Period
BBBBBB,9-28-22,Environmental Science,Sports Dismissal- Full Class Period
BBBBBB,10-12-22,French IV,"Other (LS, MS, US)"
BBBBBB,10-24-22,French IV,"Other (LS, MS, US)"
BBBBBB,11-18-22,French IV,"Medical Appt. - All Day (MS, US)"
BBBBBB,10-12-22,Introductory Calculus,"Other (LS, MS, US)"
BBBBBB,10-17-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
BBBBBB,10-24-22,Introductory Calculus,"Other (LS, MS, US)"
BBBBBB,11-18-22,Introductory Calculus,"Medical Appt. - All Day (MS, US)"
BBBBBB,9-14-22,Literature and Disability,"Medical Appt. - PM (MS, US)"
BBBBBB,9-28-22,Literature and Disability,"Medical Appt. - AM (MS, US)"
BBBBBB,9-28-22,US History,"Medical Appt. - AM (MS, US)"
BBBBBB,10-18-22,US History,"Medical Appt. - AM (MS, US)"
BBBBBB,9-13-22,Yoga,Sports Dismissal- Full Class Period
BBBBBB,10-12-22,Yoga,"Other (LS, MS, US)"
BBBBBB,10-17-22,Yoga,"Illness - All Day (LS, MS, US)"
BBBBBB,10-24-22,Yoga,"Other (LS, MS, US)"
BBBBBB,11-03-22,Yoga,"Other (LS, MS, US)"
BBBBBB,11-18-22,Yoga,"Medical Appt. - All Day (MS, US)"
BBBBBBB,9-15-22,Chemistry,Sports Dismissal- Full Class Period
BBBBBBB,9-22-22,Civics: Understanding Our Rights,Sports Dismissal- Full Class Period
BBBBBBB,11-17-22,Civics: Understanding Our Rights,"Illness - All Day (LS, MS, US)"
BBBBBBB,9-08-22,English 10,Sports Dismissal- Full Class Period
BBBBBBB,11-17-22,English 10,"Illness - All Day (LS, MS, US)"
BBBBBBB,9-13-22,Health,Sports Dismissal- Full Class Period
BBBBBBB,9-29-22,Health,Sports Dismissal- Full Class Period
BBBBBBB,11-15-22,Spanish II,"Other (LS, MS, US)"
BBBBBBB,11-17-22,Spanish II,"Illness - All Day (LS, MS, US)"
BBBBBBBB,9-20-22,Acrylic Painting,"Illness - All Day (LS, MS, US)"
BBBBBBBB,10-04-22,Acrylic Painting,"Other (LS, MS, US)"
BBBBBBBB,10-11-22,Acrylic Painting,"Illness - All Day (LS, MS, US)"
BBBBBBBB,10-25-22,Acrylic Painting,"Illness - All Day (LS, MS, US)"
BBBBBBBB,11-17-22,Acrylic Painting,"Illness - All Day (LS, MS, US)"
BBBBBBBB,9-19-22,Creative Writing: Essay,"Illness - All Day (LS, MS, US)"
BBBBBBBB,10-24-22,Creative Writing: Essay,"Illness - All Day (LS, MS, US)"
BBBBBBBB,11-14-22,Creative Writing: Essay,"Illness - Left Early (MS, US)"
BBBBBBBB,9-19-22,Forensic Science,"Illness - All Day (LS, MS, US)"
BBBBBBBB,10-24-22,Forensic Science,"Illness - All Day (LS, MS, US)"
BBBBBBBB,11-03-22,Forensic Science,"Medical Appt. - AM (MS, US)"
BBBBBBBB,9-20-22,How Do We See,"Illness - All Day (LS, MS, US)"
BBBBBBBB,10-11-22,How Do We See,"Illness - All Day (LS, MS, US)"
BBBBBBBB,10-25-22,How Do We See,"Illness - All Day (LS, MS, US)"
BBBBBBBB,11-17-22,How Do We See,"Illness - All Day (LS, MS, US)"
BBBBBBBB,9-19-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
BBBBBBBB,10-24-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
BBBBBBBB,11-14-22,Introductory Calculus,"Illness - Left Early (MS, US)"
BBBBBBBBB,10-04-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
BBBBBBBBB,10-03-22,Astronomy,"Illness - All Day (LS, MS, US)"
BBBBBBBBB,10-17-22,Astronomy,"Medical Appt. - AM (MS, US)"
BBBBBBBBB,11-14-22,Astronomy,"Family Trip (LS, MS, US)"
BBBBBBBBB,9-29-22,Black and White Photography,"Other (LS, MS, US)"
BBBBBBBBB,10-03-22,Black and White Photography,"Illness - All Day (LS, MS, US)"
BBBBBBBBB,10-24-22,Black and White Photography,"Illness - All Day (LS, MS, US)"
BBBBBBBBB,10-28-22,Black and White Photography,"Medical Appt. - PM (MS, US)"
BBBBBBBBB,11-14-22,Black and White Photography,"Family Trip (LS, MS, US)"
BBBBBBBBB,10-04-22,How Do We See,"Illness - All Day (LS, MS, US)"
BBBBBBBBB,11-08-22,How Do We See,"Other (LS, MS, US)"
BBBBBBBBB,10-03-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
BBBBBBBBB,11-14-22,The Graphic Novel,"Family Trip (LS, MS, US)"
BBBBBBBBBB,11-04-22,Geometry,"Family Trip (LS, MS, US)"
BBBBBBBBBB,11-04-22,Historical Inquiry,"Family Trip (LS, MS, US)"
BBBBBBBBBB,10-31-22,Spanish I,"Medical Appt. - PM (MS, US)"
BBBBBBBBBB,11-04-22,Spanish I,"Family Trip (LS, MS, US)"
BBBBBBBBBBB,9-19-22,Advanced Statistics,"Other (LS, MS, US)"
BBBBBBBBBBB,10-12-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
BBBBBBBBBBB,9-13-22,Forensic Science,Sports Dismissal- Full Class Period
BBBBBBBBBBB,10-12-22,Forensic Science,"Illness - All Day (LS, MS, US)"
BBBBBBBBBBB,10-26-22,Forensic Science,"Other (LS, MS, US)"
BBBBBBBBBBB,11-01-22,Forensic Science,Sports Dismissal- Full Class Period
BBBBBBBBBBB,10-12-22,Introduction to Psychology,"Illness - All Day (LS, MS, US)"
BBBBBBBBBBB,9-20-22,Satire,Sports Dismissal- Full Class Period
BBBBBBBBBBB,9-28-22,Satire,Sports Dismissal- Full Class Period
BBBBBBBBBBB,11-02-22,Satire,"Other (LS, MS, US)"
BBBBBBBBBBB,11-17-22,Satire,"Illness - Left Early (MS, US)"
BBBBBBBBBBB,11-02-22,"Vertebrates: Origins, Designs & Threats","Other (LS, MS, US)"
BBBBBBBBBBBB,10-11-22,Acrylic Painting,"Illness - All Day (LS, MS, US)"
BBBBBBBBBBBB,9-19-22,Biology,Commons Duty (US)
BBBBBBBBBBBB,11-14-22,Biology,"Medical Appt. - PM (MS, US)"
BBBBBBBBBBBB,10-11-22,English 9,"Illness - All Day (LS, MS, US)"
BBBBBBBBBBBB,10-11-22,French I,"Illness - All Day (LS, MS, US)"
BBBBBBBBBBBB,11-14-22,Historical Inquiry,"Other (LS, MS, US)"
C,10-13-22,Biology,"Illness - All Day (LS, MS, US)"
C,10-13-22,English 9,"Illness - All Day (LS, MS, US)"
C,10-12-22,Historical Inquiry,"Illness - Left Early (MS, US)"
C,10-13-22,Spanish III,"Illness - All Day (LS, MS, US)"
C,9-19-22,Strength and Conditioning,Commons Duty (US)
CC,11-14-22,Engineer Your World,"Illness - All Day (LS, MS, US)"
CC,11-14-22,Forensic Science,"Illness - All Day (LS, MS, US)"
CC,9-12-22,Satire,Sports  Dismissal- Half Class Period
CCC,9-16-22,Backpacking,School Trip - Full Day
CCC,10-06-22,Backpacking,"Medical Appt. - AM (MS, US)"
CCC,9-15-22,Chemistry,School Trip - Full Day
CCC,9-15-22,Darwinian Revolution,School Trip - Full Day
CCC,9-15-22,English 10,School Trip - Full Day
CCC,9-16-22,Math Analysis,School Trip - Full Day
CCC,9-20-22,Math Analysis,Commons Duty (US)
CCC,9-16-22,Spanish III,School Trip - Full Day
CCCC,11-01-22,English 9,Sports  Dismissal- Half Class Period
CCCC,11-16-22,English 9,"Other (LS, MS, US)"
CCCC,11-16-22,Geometry,"Other (LS, MS, US)"
CCCC,10-06-22,Historical Inquiry,Sports  Dismissal- Half Class Period
CCCC,10-26-22,Spanish II,Sports  Dismissal- Half Class Period
CCCC,11-16-22,Spanish II,"Other (LS, MS, US)"
CCCCC,9-16-22,Advanced Algebra,"Family Trip (LS, MS, US)"
CCCCC,9-16-22,Biology,"Family Trip (LS, MS, US)"
CCCCC,10-17-22,Black and White Photography,"Illness - All Day (LS, MS, US)"
CCCCC,9-16-22,English 9,"Family Trip (LS, MS, US)"
CCCCC,10-17-22,Historical Inquiry,"Illness - All Day (LS, MS, US)"
CCCCC,10-17-22,Spanish II,"Illness - All Day (LS, MS, US)"
CCCCCC,9-19-22,Ecological Literature,"Other (LS, MS, US)"
CCCCCC,10-17-22,Ecological Literature,"Other (LS, MS, US)"
CCCCCC,9-12-22,Introductory Calculus,Sports  Dismissal- Half Class Period
CCCCCC,9-28-22,Introductory Calculus,Sports  Dismissal- Half Class Period
CCCCCC,10-13-22,The American War in Vietnam,Sports  Dismissal- Half Class Period
CCCCCC,9-26-22,Understanding the Brain,"Other (LS, MS, US)"
CCCCCC,10-04-22,Understanding the Brain,"Other (LS, MS, US)"
CCCCCC,10-18-22,Understanding the Brain,"Other (LS, MS, US)"
CCCCCC,11-04-22,Understanding the Brain,College Meeting-On Campus (US)
CCCCCCC,10-05-22,Ecological Literature,"Unknown Reason (LS, MS, US)"
CCCCCCC,10-12-22,Ecological Literature,"Other (LS, MS, US)"
CCCCCCC,11-03-22,Ecological Literature,"Family Trip (LS, MS, US)"
CCCCCCC,11-04-22,Environmental Science,"Family Trip (LS, MS, US)"
CCCCCCC,11-04-22,Math Analysis,"Family Trip (LS, MS, US)"
CCCCCCC,11-03-22,Spanish IV,Absent
CCCCCCC,10-12-22,US History,"Other (LS, MS, US)"
CCCCCCC,11-03-22,US History,Absent
CCCCCCC,9-30-22,Yoga,"Illness - Left Early (MS, US)"
CCCCCCC,10-06-22,Yoga,"Other (LS, MS, US)"
CCCCCCC,10-11-22,Yoga,"Other (LS, MS, US)"
CCCCCCC,11-04-22,Yoga,"Family Trip (LS, MS, US)"
CCCCCCCC,9-26-22,Advanced Calculus,"Religious Holiday (LS, MS, US)"
CCCCCCCC,10-06-22,Advanced Calculus,"Other (LS, MS, US)"
CCCCCCCC,10-18-22,Advanced Calculus,"Other (LS, MS, US)"
CCCCCCCC,9-13-22,Creative Writing: Poetry,Sports Dismissal- Full Class Period
CCCCCCCC,9-27-22,Creative Writing: Poetry,"Other (LS, MS, US)"
CCCCCCCC,10-05-22,Creative Writing: Poetry,"Religious Holiday (LS, MS, US)"
CCCCCCCC,10-24-22,Creative Writing: Poetry,"Other (LS, MS, US)"
CCCCCCCC,10-28-22,Creative Writing: Poetry,"Illness - Left Early (MS, US)"
CCCCCCCC,11-01-22,Creative Writing: Poetry,Sports Dismissal- Full Class Period
CCCCCCCC,9-20-22,Environmental Science,Sports Dismissal- Full Class Period
CCCCCCCC,9-26-22,Environmental Science,"Religious Holiday (LS, MS, US)"
CCCCCCCC,9-28-22,Environmental Science,Sports Dismissal- Full Class Period
CCCCCCCC,11-02-22,Environmental Science,"Illness - All Day (LS, MS, US)"
CCCCCCCC,9-21-22,Introduction to Psychology,"Other (LS, MS, US)"
CCCCCCCC,10-05-22,Introduction to Psychology,"Religious Holiday (LS, MS, US)"
CCCCCCCC,10-05-22,Travel Literature,"Religious Holiday (LS, MS, US)"
CCCCCCCC,11-07-22,Travel Literature,"Family Trip (LS, MS, US)"
CCCCCCCCC,10-27-22,English 9,"Other (LS, MS, US)"
CCCCCCCCC,10-27-22,Spanish I,"Other (LS, MS, US)"
CCCCCCCCCC,11-02-22,Acrylic Painting,"Late Arrival (LS, MS, US)"
CCCCCCCCCC,9-27-22,Engineer Your World,"Illness - All Day (LS, MS, US)"
CCCCCCCCCC,10-03-22,Engineer Your World,"Illness - All Day (LS, MS, US)"
CCCCCCCCCC,10-12-22,Engineer Your World,"Other (LS, MS, US)"
CCCCCCCCCC,10-17-22,Engineer Your World,"Family Trip (LS, MS, US)"
CCCCCCCCCC,9-27-22,Math Analysis,"Illness - All Day (LS, MS, US)"
CCCCCCCCCC,10-03-22,Math Analysis,"Illness - All Day (LS, MS, US)"
CCCCCCCCCC,10-12-22,Math Analysis,"Other (LS, MS, US)"
CCCCCCCCCC,10-17-22,Math Analysis,"Family Trip (LS, MS, US)"
CCCCCCCCCC,11-07-22,Math Analysis,"Illness - Left Early (MS, US)"
CCCCCCCCCC,9-27-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
CCCCCCCCCC,10-03-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
CCCCCCCCCC,10-12-22,The Graphic Novel,"Other (LS, MS, US)"
CCCCCCCCCC,10-17-22,The Graphic Novel,"Family Trip (LS, MS, US)"
CCCCCCCCCC,11-02-22,US History,"Late Arrival (LS, MS, US)"
CCCCCCCCCCC,9-15-22,Advanced Biology,School Trip - Full Day
CCCCCCCCCCC,9-27-22,Advanced Biology,College Visit-Off Campus (US)
CCCCCCCCCCC,11-07-22,Advanced Biology,"Other (LS, MS, US)"
CCCCCCCCCCC,9-16-22,Backpacking,School Trip - Full Day
CCCCCCCCCCC,9-26-22,Backpacking,College Visit-Off Campus (US)
CCCCCCCCCCC,11-04-22,Backpacking,Sports Dismissal- Full Class Period
CCCCCCCCCCC,9-15-22,Forensic Science,School Trip - Full Day
CCCCCCCCCCC,9-27-22,Forensic Science,"Late Arrival (LS, MS, US)"
CCCCCCCCCCC,10-28-22,Forensic Science,"Other (LS, MS, US)"
CCCCCCCCCCC,9-15-22,Introduction to Psychology,School Trip - Full Day
CCCCCCCCCCC,10-07-22,Introduction to Psychology,"Other (LS, MS, US)"
CCCCCCCCCCC,9-16-22,Introductory Calculus,School Trip - Full Day
CCCCCCCCCCC,9-26-22,Introductory Calculus,College Visit-Off Campus (US)
CCCCCCCCCCC,11-04-22,Introductory Calculus,Sports Dismissal- Full Class Period
CCCCCCCCCCC,9-16-22,Literature and Disability,School Trip - Full Day
CCCCCCCCCCC,9-26-22,Literature and Disability,College Visit-Off Campus (US)
CCCCCCCCCCC,11-04-22,Literature and Disability,Sports Dismissal- Full Class Period
CCCCCCCCCCCC,9-08-22,English 10,"Medical Appt. - AM (MS, US)"
CCCCCCCCCCCC,9-28-22,French III,"Other (LS, MS, US)"
CCCCCCCCCCCC,9-16-22,The American War in Vietnam,Sports  Dismissal- Half Class Period
CCCCCCCCCCCC,10-13-22,The American War in Vietnam,Sports  Dismissal- Half Class Period
CCCCCCCCCCCC,11-17-22,The American War in Vietnam,"Other (LS, MS, US)"
D,9-21-22,Algebra I,"Medical Appt. - PM (MS, US)"
D,10-13-22,English 9,"Medical Appt. - AM (MS, US)"
D,9-22-22,French I,"Other (LS, MS, US)"
D,9-22-22,Let's Play!,"Medical Appt. - AM (MS, US)"
DD,9-19-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
